1,0000028058,0000028102,0000028098,0000028105,0000028047,0000028057,0000028080,0000028026,0000028039,0000028099,0000028041,0000028055,0000028046,0000028040,0000028061,0000028111,0000028093,0000028027,0000028065,0000028091,0000028062,0000028049,0000028059,0000028028,0000028106,0000028066,0000028045,0000028094,0000028072,0000028044,0000028029,0000028054,0000028092,0000028086,0000028030,0000028043,0000028031,0000028107,0000028071,0000028069,0000028025,0000028048,0000028052,0000028073,0000028051,0000028095,0000028096,0000028079,0000028032,0000028078,0000028077,0000028109,0000028050,0000028056,0000028033,0000028076,0000028082,0000028108,0000028110,0000028085,0000028063,0000028034,0000028064,0000028035,0000028070,0000028036,0000028097,0000028037,0000028101,0000028084,0000028074,0000028081,0000028104,0000028100,0000028088,0000028089,0000028067,0000028075,0000028112,0000028087,0000028038,0000028114
0000028071,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,2,2,2,2,2,5,2,2,2,1,2,4,5,2,3,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2,3
0000028069,2,3,3,4,2,2,2,2,2,4,1,2,2,2,2,4,4,1,2,3,2,2,2,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,3,2,2,1,2,5,2,2,1,1,1,4,5,2,2,2,2,1,1,2,3,2,3,2,2,1,4,3,3,2,2,1,5,3,2,3
0000028025,2,3,3,4,2,2,2,2,1,4,1,2,1,2,3,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,1,2,3,3,1,2,1,5,2,2,1,2,2,1,2,3,3,2,1,2,2,5,2,2,1,2,2,4,5,2,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,2,3,2,5,3,1,2
0000028048,3,3,3,5,2,3,3,3,3,4,3,3,2,3,3,5,4,2,3,4,3,3,3,3,5,3,2,3,3,2,2,3,4,3,3,2,3,5,3,3,2,1,2,3,2,3,3,3,3,3,3,5,2,3,3,3,3,5,5,3,3,3,3,3,3,2,3,3,4,3,3,3,5,4,3,3,3,3,5,4,2,3
0000028052,3,3,3,5,1,3,3,2,2,4,2,3,2,2,3,5,4,2,3,4,3,3,3,2,5,3,2,3,2,2,2,3,3,3,2,2,2,5,2,2,2,2,1,2,2,3,3,3,2,2,2,5,2,3,2,3,2,5,5,3,3,2,3,2,2,2,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2,3
0000028073,2,3,3,4,2,2,2,2,2,4,1,2,2,2,3,4,4,1,3,3,3,2,3,2,5,2,2,3,1,2,1,2,3,2,2,2,2,5,1,1,1,3,2,1,2,3,3,2,2,1,2,5,2,2,1,2,2,4,5,2,3,2,2,2,1,2,3,2,3,2,2,2,5,3,3,2,3,1,5,3,1,3
0000028051,3,3,3,5,2,3,3,2,2,4,2,3,2,2,3,5,4,2,3,4,3,3,3,2,5,3,1,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,1,3,2,3,2,5,5,3,3,2,3,2,2,1,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2,3
0000028095,3,1,1,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,1,2,3,3,3,2,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,2,2,3,3,4,2,3,2,3,3,4,3,3,3
0000028096,3,2,2,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,1,3,3,3,4,2,3,3,3,3,3,3,2,1,2,3,3,2,4,3,3,3,2,3,4,4,2,3,3,3,3,2,3,2,3,2,1,2,2,4,2,2,2,3,2,4,3,3,3
0000028079,3,3,3,4,3,2,1,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,3,3,3,2,3,2,2,3,2,2,3,2,5,2,2,2,3,3,2,3,3,2,1,2,2,2,5,3,2,2,1,2,4,5,2,3,2,2,2,2,2,3,2,3,2,2,2,4,3,3,2,2,2,5,3,2,3
0000028032,2,3,3,5,2,2,2,1,1,4,1,2,2,1,2,5,4,2,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,1,2,2,5,5,3,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,3,2,2,5,3,2,2
0000028078,2,3,3,4,2,2,2,2,2,4,2,2,2,2,2,4,4,2,2,3,2,2,2,2,5,2,2,3,2,2,2,2,3,2,2,2,1,5,2,1,2,3,2,1,2,3,3,2,2,1,2,5,2,2,1,1,1,4,5,2,2,2,2,1,1,2,3,2,3,2,2,1,5,3,3,2,2,1,5,3,2,3
0000028077,3,3,3,4,2,3,2,3,2,3,2,2,2,2,3,4,3,2,3,3,3,3,3,2,5,3,2,3,1,2,2,3,3,2,2,2,2,5,2,2,2,3,2,2,2,2,2,2,2,2,1,4,2,3,2,2,2,4,4,1,3,2,3,2,2,2,3,2,3,2,1,2,4,3,2,2,3,2,5,3,2,3
0000028109,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,2,3,5,5,3,5,5,5,5,3,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,4,1,5,5,5,5,5,3,2,4,5,5,5,5,5,5,4,5,4,4,5,5,2,4,5,4,5,5,3,5,5,5
0000028050,3,3,3,5,2,3,3,2,2,4,2,2,2,2,3,5,4,2,3,4,3,2,3,2,5,3,2,3,2,2,2,3,3,3,2,1,2,5,2,2,2,2,2,2,1,3,3,3,2,2,2,5,1,3,2,2,2,5,5,3,3,2,3,2,2,1,3,2,3,3,2,2,5,3,3,3,3,2,5,3,2,3
0000028056,1,3,3,5,3,2,2,2,2,4,2,1,2,2,2,5,4,2,2,4,2,3,2,2,5,1,3,3,3,3,2,1,3,3,2,2,2,5,2,2,2,3,3,2,3,3,3,2,2,2,3,5,3,1,2,2,2,5,5,3,2,2,1,2,2,2,3,2,4,3,2,2,5,3,3,3,2,2,5,3,2,2
0000028033,2,3,3,4,2,2,2,2,1,4,1,2,2,1,2,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,1,2,3,3,2,2,1,5,2,1,1,3,2,1,2,3,3,2,1,1,2,5,2,2,1,2,2,4,5,2,2,2,2,1,2,1,3,1,3,3,2,2,5,3,3,2,2,2,5,3,1,2
0000028076,2,3,3,4,3,2,1,2,2,3,2,2,2,2,2,4,4,2,2,3,2,3,2,2,5,2,3,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,3,2,3,3,2,1,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,2,1,2,3,2,3,2,2,1,4,3,3,2,2,2,5,3,2,2
0000028082,2,3,3,4,2,2,2,2,2,4,2,1,2,2,2,4,4,2,2,3,2,2,2,2,5,2,3,3,2,2,2,2,3,2,2,2,1,5,2,1,2,3,2,2,2,3,3,2,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,1,2,2,3,2,3,2,2,1,5,3,3,2,2,2,5,3,2,2
0000028108,5,3,3,2,5,5,4,5,5,3,4,4,4,4,5,3,3,4,5,3,5,5,5,4,3,5,5,3,4,4,4,5,3,4,5,5,4,3,4,4,4,5,5,4,5,3,4,4,5,4,4,3,5,5,4,4,4,1,3,4,5,5,5,4,4,5,3,4,3,4,4,4,3,3,4,4,5,4,3,4,4,5
0000028110,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,2,3,5,5,3,5,5,5,5,1,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,4,2,5,5,5,5,5,3,1,4,5,5,5,5,5,5,4,5,4,4,4,5,2,4,4,4,5,5,3,5,5,5
0000028085,3,2,2,4,3,3,2,3,3,3,2,2,2,3,3,4,3,2,3,3,3,3,3,2,5,3,3,2,2,2,2,3,3,1,3,3,2,5,2,2,2,3,3,2,3,2,2,2,3,2,1,4,3,3,2,2,2,4,4,1,3,3,3,2,2,2,2,2,3,1,2,2,4,3,2,1,3,2,5,3,2,3
0000028063,1,3,3,5,3,2,3,2,2,4,2,2,3,2,3,5,4,3,1,4,1,3,1,2,5,1,3,3,3,3,3,1,4,3,2,3,2,5,3,2,2,3,3,3,3,3,3,3,2,2,3,5,3,2,2,2,2,5,5,3,1,3,1,2,3,3,3,2,4,3,3,2,5,4,3,3,1,3,5,4,3,2
0000028034,2,3,3,5,2,2,2,2,1,4,2,2,2,2,3,5,4,2,3,4,3,1,3,1,5,2,2,3,2,2,2,2,3,3,1,2,2,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,2,2,2,5,5,3,3,1,2,2,2,1,3,1,3,3,2,2,5,3,3,3,3,2,5,3,2,3
0000028064,1,3,3,5,3,2,3,2,2,4,2,2,3,2,2,5,4,2,1,4,1,3,1,2,5,1,3,3,3,3,2,1,3,3,2,3,2,5,2,2,2,3,3,2,3,3,3,2,2,2,3,5,3,1,2,2,2,5,5,3,1,2,1,2,2,2,3,2,4,3,3,2,5,3,3,3,2,3,5,4,2,2
0000028035,2,3,3,4,2,2,2,2,1,4,1,2,2,1,2,5,4,2,2,4,2,2,2,2,5,2,2,3,2,2,2,2,3,2,1,2,1,5,2,1,1,3,2,2,2,3,3,2,1,1,2,5,2,2,1,2,1,4,5,2,2,2,2,1,2,2,3,1,3,3,2,2,5,3,3,2,2,2,5,3,2,2
0000028070,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,3,3,3,3,3,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,2,2,2,1,2,5,2,2,2,1,2,4,5,2,3,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2,3
0000028036,2,3,3,5,2,2,2,2,1,4,1,2,2,2,3,5,4,1,3,4,3,2,3,1,5,2,2,3,2,2,1,2,3,3,2,1,2,5,2,2,1,2,2,2,1,3,3,2,1,2,2,5,1,2,1,2,2,5,5,2,3,1,2,2,2,1,3,1,3,3,2,2,5,3,3,3,3,2,5,3,1,3
0000028097,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,3,3,1,2,3,3,3,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,3,1,3,2,2,3,3,4,2,3,2,3,3,4,3,3,3
0000028037,2,3,3,5,2,2,2,1,1,4,1,2,2,1,2,5,4,1,2,4,2,2,2,1,5,2,2,3,2,2,2,2,3,3,1,2,1,5,2,2,1,3,2,2,2,3,3,2,1,2,2,5,2,2,1,2,2,4,5,2,2,1,2,1,2,1,3,1,3,3,2,2,5,3,3,3,2,2,5,3,1,2
0000028101,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,4,4,4,3,4,4,3,2,3,3,3,4,2,3,3,3,3,4,3,3,3,4,3,3,3,2,2,3,3,3,3,4,3,4,3,3,3,3,4,3,4,3,4,3,3,3,2,3,1,3,3,3,3,1,3,3,4,3,4,3,3,4
0000028084,3,2,2,4,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,3,3,3,3,3,4,3,3,2,2,2,2,3,2,1,3,3,3,4,2,2,3,3,3,2,3,2,1,2,3,2,2,4,3,3,3,2,2,4,4,1,3,3,3,3,2,3,2,3,3,1,2,2,4,3,1,1,3,2,5,1,2,3
0000028074,3,3,3,4,2,2,2,2,2,3,2,2,2,2,3,4,3,2,3,3,3,3,3,2,5,3,2,3,1,2,2,3,3,2,2,2,2,5,1,2,2,3,2,2,2,3,2,2,2,2,1,5,2,2,2,2,2,4,4,2,3,2,3,2,1,2,3,2,3,2,1,1,4,3,2,2,3,1,5,3,2,3
0000028081,2,3,3,4,2,2,2,2,2,3,2,2,2,2,2,4,4,2,2,3,2,3,2,2,5,2,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,2,2,3,2,2,2,1,2,5,2,2,2,1,1,4,5,2,2,2,2,2,1,2,3,2,3,2,1,1,4,3,3,2,2,1,5,3,2,3
0000028104,5,4,4,2,5,5,4,5,5,3,5,5,5,5,5,1,3,5,5,3,5,5,5,5,3,5,5,4,4,5,5,5,3,4,5,5,5,1,4,4,5,5,5,5,5,4,4,4,5,5,4,2,5,5,5,4,5,3,2,4,5,5,5,5,4,5,4,5,3,4,4,4,1,3,4,4,5,4,1,5,5,5
0000028100,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,3,3,2,3,3,3,3,1,2,3,3,3,4,3,3,3,4,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,3,1,3,3,3,3,1,3,3,3,3,4,3,3,4
0000028088,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,3,3,3,5,3,3,3,3,3,3,3,3,2,3,3,3,2,5,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,1,2,3,4,3,1,2,3,3,5,1,3,3
0000028089,3,2,2,4,3,3,1,3,3,3,2,2,2,2,3,4,3,2,3,3,3,3,3,3,5,3,3,2,2,2,2,3,3,1,3,3,2,5,2,2,2,3,3,2,3,2,2,2,3,2,2,4,3,3,2,2,2,4,4,1,3,3,3,2,2,3,2,3,3,1,2,2,4,3,2,1,3,2,5,3,2,3
0000028067,2,3,3,5,3,1,3,2,2,4,3,2,3,2,1,5,4,3,1,4,1,3,2,3,5,1,3,3,3,3,3,2,3,3,2,3,2,5,2,2,2,3,3,3,3,3,3,2,2,2,3,5,3,2,2,2,2,5,5,3,1,3,2,2,2,3,3,2,4,3,3,2,5,3,3,3,1,3,5,4,3,2
0000028075,3,3,3,4,2,2,2,2,2,3,2,2,2,2,3,4,4,2,3,3,3,3,3,2,5,3,2,3,2,2,2,2,3,2,2,2,2,5,1,1,2,3,2,1,2,3,2,2,2,1,2,5,2,2,2,2,2,4,5,2,3,2,3,2,1,2,3,2,3,2,1,1,4,3,3,2,3,1,5,3,2,3
0000028112,5,4,4,3,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,4,5,5,5,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,5,4,5,5,5,1,4,5,5,5,5,1,5,5,5
0000028087,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,5,4,3,4,4,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,5,3,4,3,4,3,3,3,3,3,3,1,3,3,5,3,1,3,4,3,5,1,3,3
0000028038,2,3,3,4,2,2,2,2,2,4,1,2,1,2,3,5,4,1,3,3,3,2,3,1,5,2,2,3,2,2,1,2,3,2,2,2,2,5,2,2,1,2,2,1,2,3,3,2,2,2,2,5,2,2,1,2,2,4,5,2,3,2,2,2,2,1,3,1,3,2,2,2,5,3,3,2,3,2,5,3,1,3
0000028114,2,3,3,5,3,2,3,2,2,4,3,2,3,2,2,5,4,3,2,4,2,3,2,2,5,2,3,3,3,3,3,1,4,3,2,3,2,5,3,3,2,3,3,3,3,3,3,3,2,3,3,5,3,2,2,2,2,5,5,3,2,3,2,2,3,3,3,2,4,3,3,3,5,4,3,3,2,3,5,3,3,1
